tipo de residuo;descripcion
organico;Sabias que mas el 30% de los residuos solidos generados en todo el mundo son residuos organicos
organico;la mayoria de los residuos organicos terminan en vertederos o en incineradores, cuando en realidad podrian tener un uso mas sostenible como abono o energia renovable
organico;sabias que los residuos organicos pueden ser una fuente de energia renovale. Atra vez de un proceso llamado digestion anaerobica
organico;la digestion anaerobica es un proceso que se utiliza para que los residuos organicos se conviertan en energia renovables, este proceso hace que estos reciduos se desconpongan en ausencia de oxigeno, liberando biogas, una mezcla de metano y dioxido de carbono los cuales se pueden usar como energia
organico;Una de las formas más antiguas y sostenibles de tratar los residuos orgánicos es a través del compostaje. El compostaje es un proceso natural en el que los microorganismos descomponen los residuos orgánicos en un material rico en nutrientes conocido como compost
organico;El mal manejo de estos residuos puede tener consecuencias negativas, como la acidificación de los suelos
organico;sabias que el reciclaje de residuos orgánicos beneficia al medio ambiente y a los humanos, y además puede servir como alimento para animales como gallinas, cerdos y vacas.
organico;No todos los residuos orgánicos son adecuados para los animales, ya que algunos, como alimentos procesados o ciertas cáscaras de frutas, pueden ser perjudiciales para su salud.
organico;Una cáscara de banana puede tardar hasta 6 meses en descomponerse de forma natural.
organico;Si los residuos orgánicos se tiran a la basura común, generan metano, un gas que contamina más que el CO₂.
organico;El compost hecho con residuos orgánicos mejora la fertilidad del suelo y reduce el uso de fertilizantes químicos.
organico;es recomendable separar los residuos organicos desde el origen: no mezclarlos con plásticos, vidrios o metales.
organico;si el residuo desechado es organico evitar incluir alimentos procesados, aceites o carnes si se van a compostar en casa.
organico;Manten los residuos organicos en recipientes cerrados para evitar malos olores e insectos.
organico;Usalos para compostaje doméstico o comunitario siempre que sea posible.
organico;si vas a dar el residuo a un animal informate que residuos son seguros para animales
organico;No los dejes acumular por mucho tiempo, ya que pueden descomponerse rápidamente.
organico;Los residuos orgánicos bien gestionados no generan malos olores, a diferencia de cuando se mezclan con otros residuos.
organico;Los restos de café ayudan a repeler algunas plagas y mejoran la calidad del compost.
organico;El reciclaje de residuos orgánicos reduce la cantidad de basura enviada a rellenos sanitarios.
reciclable;El aluminio puede reciclarse infinitas veces sin perder calidad.
reciclable;Reciclar una lata de aluminio ahorra hasta 95 % de la energía necesaria para producirla desde cero.
reciclable;Reciclar una lata de aluminio ahorra hasta 95 % de la energía necesaria para producirla desde cero.
reciclable;El papel puede reciclarse entre 5 y 7 veces antes de perder resistencia.
reciclable;El vidrio reciclado reduce la extracción de arena y otros recursos naturales.
reciclable;Una tonelada de papel reciclado puede salvar hasta 17 árboles
reciclable;Muchos residuos reciclables, si se contaminan con comida, dejan de ser reciclables.
reciclable;El reciclaje reduce la contaminación del agua y del aire.
reciclable;Los residuos reciclables son materia prima para nuevos productos, como ropa, muebles o envases.
reciclable;Separar correctamente los residuos facilita el trabajo de los recicladores
reciclable;Lava y seca los envases antes de reciclarlos.
reciclable;Separa los residuos por tipo: papel, plástico, vidrio y metal.
reciclable;Aplasta botellas y cajas para ahorrar espacio.
reciclable;No mezcles reciclables con residuos orgánicos o peligrosos.
reciclable;Retira tapas, etiquetas excesivas o residuos de comida.
reciclable;Usa bolsas o recipientes exclusivos para reciclaje.
reciclable;Infórmate sobre qué materiales sí se reciclan en tu ciudad.
reciclable;"No rompas el vidrio; entrégalo entero y limpio."
reciclable;Evita reciclar papel húmedo, sucio o grasoso.
reciclable;Apoya a los recicladores entregando los materiales clasificados y limpios.
no reciclable;Los residuos no reciclables no pueden reprocesarse con la tecnología común.
no reciclable;Muchos residuos no reciclables terminan en rellenos sanitarios.
no reciclable;Algunos materiales no reciclables tardan décadas o siglos en degradarse.
no reciclable;Los empaques multicapa (plástico + aluminio) son difíciles de reciclar.
no reciclable;Pañales y toallas sanitarias contienen materiales contaminantes.
no reciclable;Los residuos no reciclables pueden generar contaminación del suelo y el agua.
no reciclable;Al quemarse, algunos residuos no reciclables liberan gases tóxicos.
no reciclable;Su mala disposición afecta a animales y ecosistemas
no reciclable;Reducir estos residuos es más efectivo que intentar reciclarlos.
no reciclable;Muchos residuos no reciclables provienen de productos de un solo uso.
no reciclable;Reduce su consumo  de residuos no reciclables siempre que sea posible.
no reciclable;Evita productos no reciclables de un solo uso.
no reciclable;No mezcles residuos no reciclables con residuos reciclables.
no reciclable;Dispón de los reciduos no reciclables en bolsas bien cerradas
no reciclable;Sigue las normas locales para la recolección de residuos no reciclables.
no reciclable;No arrojes los residuos no reciclables en calles, ríos o zonas verdes.
no reciclable;Reemplaza desechables por opciones reutilizables.
no reciclable;Informa y educa sobre el impacto de los residuos no reciclables.
no reciclable;Apoya iniciativas de reducción y manejo responsable de residuos no reciclables.
;
;
